,label,path,height,width,x1,y1,x2,y2
433,other,Dataset\47_IMG.png,183,245,1336,1112,1581,1295
434,other,Dataset\48_IMG.png,296,413,971,1073,1384,1369
435,no_entry_for_vehicles,Dataset\48_IMG.png,518,526,923,621,1449,1139
436,no_entry_for_vehicles,Dataset\49_IMG.png,230,239,1284,1313,1523,1543
437,cycleway,Dataset\4_SV.png,73,64,383,45,447,118
438,no_entry_for_vehicles,Dataset\50_IMG.png,266,208,1519,1147,1727,1413
439,no_entry_for_vehicles,Dataset\51_IMG.png,269,261,1475,1717,1736,1986
440,other,Dataset\52_IMG.png,274,456,1267,2108,1723,2382
441,no_entry_for_vehicles,Dataset\52_IMG.png,513,591,1193,1621,1784,2134
442,no_entry_for_vehicles,Dataset\53_IMG.png,739,796,627,626,1423,1365
443,other,Dataset\54_IMG.png,700,1017,910,1508,1927,2208
444,no_entry_for_vehicles,Dataset\54_IMG.png,896,1026,945,669,1971,1565
445,no_entry_for_vehicles,Dataset\55_IMG.png,214,148,1185,1386,1333,1600
446,cycleway,Dataset\55_IMG.png,207,116,1372,1565,1488,1772
447,cycleway,Dataset\56_IMG.png,421,304,1118,1373,1422,1794
448,no_entry_for_vehicles,Dataset\56_IMG.png,445,297,756,997,1053,1442
449,no_entry_for_vehicles,Dataset\57_IMG.png,479,331,660,435,991,914
450,cycleway,Dataset\57_IMG.png,462,310,1053,832,1363,1294
451,no_entry_for_vehicles,Dataset\58_SV.png,12,15,128,163,143,175
452,no_entry_for_vehicles,Dataset\58_SV.png,13,16,295,165,311,178
453,turn_left_ahead,Dataset\58_SV.png,13,13,280,189,293,202
454,other,Dataset\58_SV.png,24,23,5,184,28,208
455,no_entry_for_vehicles,Dataset\59_SV.png,82,37,117,67,154,149
456,other,Dataset\59_SV.png,36,22,355,65,377,101
457,cycleway,Dataset\5_SV.png,77,53,107,161,160,238
458,no_entry_for_vehicles,Dataset\60_SV.png,50,55,133,104,188,154
459,other,Dataset\60_SV.png,67,44,394,154,438,221
460,other,Dataset\60_SV.png,34,46,394,51,440,85
461,other,Dataset\61_SV.png,18,22,23,118,45,136
462,no_entry_for_vehicles,Dataset\61_SV.png,39,41,291,133,332,172
463,no_entry_for_vehicles,Dataset\62_SV.png,23,24,373,127,397,150
464,pass_on_right,Dataset\62_SV.png,20,21,530,170,551,190
465,pedestrian,Dataset\62_SV.png,13,14,625,140,639,153
466,no_left_turn,Dataset\62_SV.png,16,17,623,126,640,142
467,yield,Dataset\62_SV.png,15,21,621,110,642,125
468,turn_left_or_right_only,Dataset\62_SV.png,19,16,632,157,648,176
469,pass_on_right,Dataset\62_SV.png,13,10,648,163,658,176
470,no_entry_for_vehicles(both_directions),Dataset\63_IMG.png,269,302,1014,1145,1316,1414
471,other,Dataset\63_IMG.png,198,198,1064,1405,1262,1603
472,yield,Dataset\64_SV.png,58,54,22,13,76,71
473,no_left_turn,Dataset\64_SV.png,51,48,27,67,75,118
474,turn_left_or_right_only,Dataset\64_SV.png,54,47,59,171,106,225
475,no_entry_for_vehicles,Dataset\65_SV.png,33,37,143,172,180,205
476,pass_on_right,Dataset\65_SV.png,30,28,408,239,436,269
477,pedestrian,Dataset\65_SV.png,14,14,554,201,568,215
478,no_left_turn,Dataset\65_SV.png,16,17,552,184,569,200
479,yield,Dataset\65_SV.png,18,20,551,165,571,183
480,no_motor_vehicles,Dataset\67_IMG.png,1573,1578,549,526,2127,2099
481,yield,Dataset\68_SV.png,46,73,549,229,622,275
482,no_right_turn,Dataset\68_SV.png,49,77,554,275,631,324
483,no_right_turn,Dataset\69_SV.png,24,35,324,259,359,283
484,yield,Dataset\69_SV.png,22,31,324,237,355,259
485,other,Dataset\69_SV.png,33,52,411,236,463,269
486,cycleway,Dataset\6_SV.png,32,35,61,85,96,117
487,other,Dataset\70_SV.png,25,24,574,230,598,255
488,no_right_turn,Dataset\70_SV.png,26,28,525,219,553,245
489,priority_road,Dataset\70_SV.png,22,23,528,198,551,220
490,no_entry_for_vehicles,Dataset\71_SV.png,59,66,380,273,446,332
491,other,Dataset\71_SV.png,52,27,640,199,667,251
492,other,Dataset\71_SV.png,22,23,566,272,589,294
493,other,Dataset\71_SV.png,15,14,522,297,536,312
494,no_entry_for_vehicles,Dataset\72_SV.png,32,30,282,161,312,193
495,no_entry_for_vehicles,Dataset\72_SV.png,8,8,251,194,259,202
496,yield,Dataset\72_SV.png,11,10,317,191,327,202
497,other,Dataset\72_SV.png,30,28,21,172,49,202
498,other,Dataset\72_SV.png,34,36,16,141,52,175
499,no_entry_for_vehicles,Dataset\73_SV.png,63,95,98,158,193,221
500,no_entry_for_vehicles,Dataset\73_SV.png,78,71,1281,100,1352,178
501,yield,Dataset\73_SV.png,19,30,211,210,241,229
502,other,Dataset\73_SV.png,28,31,1175,112,1206,140
503,no_entry_for_vehicles,Dataset\74_SV.png,50,60,578,194,638,244
504,no_entry_for_vehicles,Dataset\74_SV.png,21,22,156,216,178,237
505,yield,Dataset\75_SV.png,40,42,560,133,602,173
506,no_right_turn,Dataset\76_SV.png,74,76,308,146,384,220
507,priority_road,Dataset\76_SV.png,70,77,306,79,383,149
508,no_stopping,Dataset\77_SV.png,50,57,81,88,138,138
509,no_stopping,Dataset\78_SV.png,38,41,60,60,101,98
510,no_stopping,Dataset\79_SV.png,24,20,70,52,90,76
511,endof_pedestrian_zone,Dataset\7_SV.png,187,249,8,182,257,369
512,one_way_street,Dataset\7_SV.png,11,10,692,174,702,185
513,parking,Dataset\7_SV.png,12,10,692,185,702,197
514,no_stopping,Dataset\80_SV.png,64,68,544,292,612,356
515,parking,Dataset\80_SV.png,47,50,326,192,376,239
516,other,Dataset\80_SV.png,34,43,335,236,378,270
517,no_stopping,Dataset\81_SV.png,189,203,71,21,274,210
518,no_stopping,Dataset\82_SV.png,64,64,297,339,361,403
519,parking,Dataset\82_SV.png,67,66,76,216,142,283
520,other,Dataset\82_SV.png,50,70,65,273,135,323
521,other,Dataset\82_SV.png,54,45,507,242,552,296
522,other,Dataset\82_SV.png,28,56,523,214,579,242
523,other,Dataset\82_SV.png,36,122,77,376,199,412
524,other,Dataset\82_SV.png,29,40,302,399,342,428
525,no_stopping,Dataset\83_SV.png,28,29,245,123,274,151
526,other,Dataset\83_SV.png,31,25,248,147,273,178
527,other,Dataset\84_SV.png,13,24,234,121,258,134
528,other,Dataset\84_SV.png,22,31,425,119,456,141
529,no_stopping,Dataset\84_SV.png,35,44,421,147,465,182
530,parking,Dataset\84_SV.png,36,32,421,86,453,122
531,parking,Dataset\84_SV.png,14,18,289,124,307,138
532,turn_right_ahead,Dataset\84_SV.png,14,17,196,126,213,140
533,yield,Dataset\84_SV.png,13,19,193,113,212,126
534,no_stopping,Dataset\85_SV.png,56,47,403,239,450,295
535,parking,Dataset\85_SV.png,23,16,214,183,230,206
536,parking,Dataset\85_SV.png,13,11,74,202,85,215
537,no_stopping,Dataset\85_SV.png,16,12,71,224,83,240
538,yield,Dataset\85_SV.png,9,10,4,207,14,216
539,no_stopping,Dataset\86_SV.png,64,80,433,207,513,271
540,other,Dataset\86_SV.png,44,35,295,273,330,317
541,other,Dataset\87_SV.png,33,41,202,181,243,214
542,no_stopping,Dataset\87_SV.png,35,44,195,148,239,183
543,no_stopping,Dataset\88_SV.png,79,82,460,288,542,367
544,no_stopping,Dataset\88_SV.png,37,37,134,271,171,308
545,parking,Dataset\88_SV.png,50,42,385,178,427,228
546,parking,Dataset\88_SV.png,30,30,151,211,181,241
547,parking,Dataset\88_SV.png,17,21,82,247,103,264
548,other,Dataset\88_SV.png,31,29,430,197,459,228
549,other,Dataset\88_SV.png,36,36,386,230,422,266
550,other,Dataset\88_SV.png,24,30,153,243,183,267
551,endof_pedestrian_zone,Dataset\8_SV.png,37,32,91,138,123,175
552,no_stopping,Dataset\92_SV.png,17,16,566,234,582,251
553,other,Dataset\92_SV.png,16,12,544,245,556,261
554,no_stopping,Dataset\93_SV.png,84,83,973,223,1056,307
555,other,Dataset\93_SV.png,66,63,1011,14,1074,80
556,no_right_turn,Dataset\93_SV.png,26,23,551,261,574,287
557,priority_road,Dataset\93_SV.png,23,26,549,239,575,262
558,other,Dataset\93_SV.png,24,24,596,273,620,297
559,no_stopping,Dataset\94_SV.png,65,60,402,181,462,246
560,no_stopping,Dataset\94_SV.png,26,24,63,204,87,230
561,no_stopping,Dataset\95_SV.png,53,55,75,218,130,271
562,other,Dataset\95_SV.png,48,52,77,270,129,318
563,other,Dataset\96_SV.png,11,12,198,201,210,212
564,no_entry_for_vehicles,Dataset\96_SV.png,18,14,198,183,212,201
565,no_stopping,Dataset\97_SV.png,31,32,260,202,292,233
566,no_stopping,Dataset\98_SV.png,135,106,195,346,301,481
567,no_stopping,Dataset\99_SV.png,36,44,573,135,617,171
568,priority_road,Dataset\99_SV.png,18,24,402,176,426,194
569,endof_pedestrian_zone,Dataset\9_IMG.png,1626,1260,1080,1943,2340,3569
